1 h; très facile; bon marché; https://www.marmiton.org/recettes/recette_quiche-lorraine_30283.aspx
50 min; facile; bon marché; https://www.marmiton.org/recettes/recette_tomates-farcies-au-thermomix_326707.aspx
1h15; très facile; bon marché; https://www.marmiton.org/recettes/recette_la-vraie-tartiflette_17634.aspx
2h15; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile_19219.aspx
1h25; facile; bon marché; https://www.marmiton.org/recettes/recette_gratin-dauphinois_13809.aspx
2h05; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx
6 h; facile; Coût moyen; https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx
2h25; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_couscous_335630.aspx
1h20; facile; Coût moyen; https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx
1h10; très facile; bon marché; https://www.marmiton.org/recettes/recette_pate-a-pizza-fine_29544.aspx
4h30; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_pot-au-feu_32792.aspx
2h30; très facile; bon marché; https://www.marmiton.org/recettes/recette_chili-con-carne_29198.aspx
45 min; facile; bon marché; https://www.marmiton.org/recettes/recette_hachis-parmentier_17639.aspx
1h30; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_verdadera-paella-espanola_219660.aspx
1h15; très facile; bon marché; https://www.marmiton.org/recettes/recette_poulet-roti-et-ses-pommes-de-terre_43958.aspx
2h55; Niveau moyen; bon marché; https://www.marmiton.org/recettes/recette_la-vraie-moussaka-grecque_72593.aspx
1h20; facile; Coût moyen; https://www.marmiton.org/recettes/recette_poulet-basquaise_16969.aspx
1h05; facile; Coût moyen; https://www.marmiton.org/recettes/recette_osso-bucco-de-veau_16090.aspx
20 min; facile; assez cher; https://www.marmiton.org/recettes/recette_magrets-de-canard-au-miel_11774.aspx
55 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_pomme-de-terre-au-four_14679.aspx
1 h; facile; assez cher; https://www.marmiton.org/recettes/recette_fondue-savoyarde_21964.aspx
1h20; très facile; bon marché; https://www.marmiton.org/recettes/recette_tomates-farcies-facile_63622.aspx
20 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_pates-a-la-carbonara_80453.aspx
45 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_tarte-au-poireaux_21357.aspx
50 min; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_courgette-farcie_11173.aspx
40 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_rougail-saucisse_22851.aspx
1h10; très facile; bon marché; https://www.marmiton.org/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx
15 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_croque-monsieur_19208.aspx
45 min; facile; bon marché; https://www.marmiton.org/recettes/recette_roti-de-boeuf-au-four-tout-simple_342546.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_roti-de-porc-tout-simple_170153.aspx
40 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_quiche-sans-pate_12744.aspx
25 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_gratin-de-pates-moelleux-facile-et-pas-cher_53247.aspx
10 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_hamburger-maison_32672.aspx
30 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_mont-d-or-au-four_11287.aspx
1 h; très facile; bon marché; https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx
1h20; très facile; bon marché; https://www.marmiton.org/recettes/recette_soupe-au-chou-vert_54188.aspx
1 h; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-frais_11354.aspx
40 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_raclette-suisse_13674.aspx
7 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_pate-a-pizza-au-thermomix_326706.aspx
50 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_roti-de-veau-en-cocotte-aux-champignons_33366.aspx
49 min; facile; assez cher; https://www.marmiton.org/recettes/recette_paupiettes-au-whisky_42467.aspx
21 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_frichti-d-endives_38681.aspx
1 h; facile; assez cher; https://www.marmiton.org/recettes/recette_lotte-a-l-armoricaine_16975.aspx
20 min; facile; bon marché; https://www.marmiton.org/recettes/recette_la-pate-a-galettes-de-ble-noir-traditionnelle_35351.aspx
45 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_cuisses-de-poulet-au-four_67408.aspx
18 min; très facile; assez cher; https://www.marmiton.org/recettes/recette_dos-de-cabillaud-tout-simple_72532.aspx
2h15; facile; Coût moyen; https://www.marmiton.org/recettes/recette_choucroute-a-l-alsacienne_29819.aspx
1h55; facile; Coût moyen; https://www.marmiton.org/recettes/recette_poulet-au-four-version-light_218020.aspx
35 min; facile; bon marché; https://www.marmiton.org/recettes/recette_bo-bun-vietnam_26967.aspx
20 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_pates-carbonara-la-vraie-recette-italienne_17213.aspx
1h30; facile; bon marché; https://www.marmiton.org/recettes/recette_tajine-de-poulet_32866.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_riz-cantonais-facile_27686.aspx
45 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_paupiettes-de-veau_82641.aspx
14 min; facile; bon marché; https://www.marmiton.org/recettes/recette_poulet-au-riz-pour-robot-cookeo_340418.aspx
2h15; facile; Coût moyen; https://www.marmiton.org/recettes/recette_langue-de-boeuf-sauce-piquante-cornichons_170277.aspx
45 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_roti-de-boeuf-a-l-oignon-caramelise_63016.aspx
45 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_choux-de-bruxelles-au-lard-en-cocotte_28770.aspx
2h15; très facile; bon marché; https://www.marmiton.org/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx
2h15; très facile; bon marché; https://www.marmiton.org/recettes/recette_boeuf-carottes-facile_55864.aspx
40 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx
3h40; très facile; bon marché; https://www.marmiton.org/recettes/recette_carbonades-flamandes-traditionnelles_29711.aspx
1h30; très facile; bon marché; https://www.marmiton.org/recettes/recette_endives-au-jambon_25868.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_la-tourte-aux-champignons-si-simple-et-si-bon_80221.aspx
30 min; facile; bon marché; https://www.marmiton.org/recettes/recette_flammekueche-alsacienne_231727.aspx
1h30; très facile; bon marché; https://www.marmiton.org/recettes/recette_cannelloni-de-viande_45211.aspx
35 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_magret-de-canard-au-four_80687.aspx
40 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_lasagnes-au-saumon-et-aux-epinards_14665.aspx
1h35; très facile; bon marché; https://www.marmiton.org/recettes/recette_artichaut-farci_349902.aspx
20 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_steak-tartare_18121.aspx
55 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_tarte-a-la-tomate-et-a-la-moutarde_20978.aspx
1h15; Niveau moyen; bon marché; https://www.marmiton.org/recettes/recette_risotto-aux-champignons_312215.aspx
2h30; facile; assez cher; https://www.marmiton.org/recettes/recette_coq-au-vin-maison_25755.aspx
45 min; Niveau moyen; assez cher; https://www.marmiton.org/recettes/recette_ris-de-veau-aux-champignons_32436.aspx
35 min; facile; bon marché; https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
1h15; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_roti-de-veau-au-four_61313.aspx
10 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_noix-de-saint-jacques_20420.aspx
2h10; très facile; bon marché; https://www.marmiton.org/recettes/recette_lentilles-et-saucisses-de-morteau-a-ma-facon_24957.aspx
1h40; facile; Coût moyen; https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-roti-a-la-moutarde-a-l-ancienne_165059.aspx
1h05; très facile; bon marché; https://www.marmiton.org/recettes/recette_couscous-poulet-et-merguez-facile_17751.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_courge-spaghetti-a-la-carbonara_64056.aspx
1 h; très facile; bon marché; https://www.marmiton.org/recettes/recette_lapin-a-la-moutarde-maison_15983.aspx
25 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_lentilles-corail-au-curry_40286.aspx
1 h; facile; Coût moyen; https://www.marmiton.org/recettes/recette_aligot-a-l-ancienne_25127.aspx
35 min; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_sushi-californien-maki-inverse_64650.aspx
2h40; facile; bon marché; https://www.marmiton.org/recettes/recette_poule-au-pot-a-l-ancienne_21529.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_salade-de-pommes-de-terre-et-cornichons_91338.aspx
55 min; facile; bon marché; https://www.marmiton.org/recettes/recette_croque-monsieur-au-chou-fleur_349691.aspx
1h35; facile; bon marché; https://www.marmiton.org/recettes/recette_cuisses-de-poulet-faciles-et-qui-changent_57836.aspx
1h45; facile; bon marché; https://www.marmiton.org/recettes/recette_joues-de-porc-mijotees-sauce-a-la-creme-et-a-la-moutarde-de-dijon_230312.aspx
50 min; facile; bon marché; https://www.marmiton.org/recettes/recette_porc-caramel_72335.aspx
40 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_carottes-vichy_17717.aspx
18 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_cordon-bleu_27731.aspx
40 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_bar-au-four_21505.aspx
35 min; très facile; Coût moyen; https://www.marmiton.org/recettes/recette_brandade-de-morue_12736.aspx
1 h; Niveau moyen; Coût moyen; https://www.marmiton.org/recettes/recette_colombo-de-poulet_36849.aspx
1h15; facile; Coût moyen; https://www.marmiton.org/recettes/recette_calamars-a-l-armoricaine_31894.aspx
1h20; très facile; bon marché; https://www.marmiton.org/recettes/recette_spaghetti-bolognaise_19840.aspx
2 h; très facile; bon marché; https://www.marmiton.org/recettes/recette_aioli_17776.aspx
45 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_pate-brisee-vite-faite_31639.aspx
45 min; facile; bon marché; https://www.marmiton.org/recettes/recette_dorade-au-four_339422.aspx
1h05; très facile; bon marché; https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise-tres-facile_70480.aspx
20 min; facile; Coût moyen; https://www.marmiton.org/recettes/recette_sole-meuniere_165182.aspx
50 min; très facile; bon marché; https://www.marmiton.org/recettes/recette_osso-bucco-de-dinde_14410.aspx
